"","Rank","Title","Link","NA.","Rating","VoteCount","Description","MetaScore"
"122","122"," L","https://imdb.com/title/tt0119488/?ref_=chttp_t_122","https://imdb.com/title/tt0119488/?ref_=chttp_t_122","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"123","123"," 1917","https://imdb.com/title/tt8579674/?ref_=chttp_t_123","https://imdb.com/title/tt8579674/?ref_=chttp_t_123","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"124","124"," Taxi Driver","https://imdb.com/title/tt0075314/?ref_=chttp_t_124","https://imdb.com/title/tt0075314/?ref_=chttp_t_124","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"125","125"," Downfall","https://imdb.com/title/tt0363163/?ref_=chttp_t_125","https://imdb.com/title/tt0363163/?ref_=chttp_t_125","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"126","126"," Dangal","https://imdb.com/title/tt5074352/?ref_=chttp_t_126","https://imdb.com/title/tt5074352/?ref_=chttp_t_126","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"127","127"," For a Few Dollars More","https://imdb.com/title/tt0059578/?ref_=chttp_t_127","https://imdb.com/title/tt0059578/?ref_=chttp_t_127","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"128","128"," Batman Begins","https://imdb.com/title/tt0372784/?ref_=chttp_t_128","https://imdb.com/title/tt0372784/?ref_=chttp_t_128","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"129","129"," Top Gun: Maverick","https://imdb.com/title/tt1745960/?ref_=chttp_t_129","https://imdb.com/title/tt1745960/?ref_=chttp_t_129","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"130","130"," Some Like It Hot","https://imdb.com/title/tt0053291/?ref_=chttp_t_130","https://imdb.com/title/tt0053291/?ref_=chttp_t_130","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"131","131"," The Kid","https://imdb.com/title/tt0012349/?ref_=chttp_t_131","https://imdb.com/title/tt0012349/?ref_=chttp_t_131","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"132","132"," The Wolf of Wall Street","https://imdb.com/title/tt0993846/?ref_=chttp_t_132","https://imdb.com/title/tt0993846/?ref_=chttp_t_132","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"133","133"," The Father","https://imdb.com/title/tt10272386/?ref_=chttp_t_133","https://imdb.com/title/tt10272386/?ref_=chttp_t_133","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"134","134"," Green Book","https://imdb.com/title/tt6966692/?ref_=chttp_t_134","https://imdb.com/title/tt6966692/?ref_=chttp_t_134","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"135","135"," All About Eve","https://imdb.com/title/tt0042192/?ref_=chttp_t_135","https://imdb.com/title/tt0042192/?ref_=chttp_t_135","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"136","136"," Judgment at Nuremberg","https://imdb.com/title/tt0055031/?ref_=chttp_t_136","https://imdb.com/title/tt0055031/?ref_=chttp_t_136","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"137","137"," The Truman Show","https://imdb.com/title/tt0120382/?ref_=chttp_t_137","https://imdb.com/title/tt0120382/?ref_=chttp_t_137","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"138","138"," There Will Be Blood","https://imdb.com/title/tt0469494/?ref_=chttp_t_138","https://imdb.com/title/tt0469494/?ref_=chttp_t_138","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"139","139"," Casino","https://imdb.com/title/tt0112641/?ref_=chttp_t_139","https://imdb.com/title/tt0112641/?ref_=chttp_t_139","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"140","140"," Shutter Island","https://imdb.com/title/tt1130884/?ref_=chttp_t_140","https://imdb.com/title/tt1130884/?ref_=chttp_t_140","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"141","141"," Ran","https://imdb.com/title/tt0089881/?ref_=chttp_t_141","https://imdb.com/title/tt0089881/?ref_=chttp_t_141","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"142","142"," Jurassic Park","https://imdb.com/title/tt0107290/?ref_=chttp_t_142","https://imdb.com/title/tt0107290/?ref_=chttp_t_142","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"143","143"," Pan's Labyrinth","https://imdb.com/title/tt0457430/?ref_=chttp_t_143","https://imdb.com/title/tt0457430/?ref_=chttp_t_143","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"144","144"," The Sixth Sense","https://imdb.com/title/tt0167404/?ref_=chttp_t_144","https://imdb.com/title/tt0167404/?ref_=chttp_t_144","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"145","145"," Unforgiven","https://imdb.com/title/tt0105695/?ref_=chttp_t_145","https://imdb.com/title/tt0105695/?ref_=chttp_t_145","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"146","146"," A Beautiful Mind","https://imdb.com/title/tt0268978/?ref_=chttp_t_146","https://imdb.com/title/tt0268978/?ref_=chttp_t_146","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"147","147"," No Country for Old Men","https://imdb.com/title/tt0477348/?ref_=chttp_t_147","https://imdb.com/title/tt0477348/?ref_=chttp_t_147","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"148","148"," Yojimbo","https://imdb.com/title/tt0055630/?ref_=chttp_t_148","https://imdb.com/title/tt0055630/?ref_=chttp_t_148","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"149","149"," The Treasure of the Sierra Madre","https://imdb.com/title/tt0040897/?ref_=chttp_t_149","https://imdb.com/title/tt0040897/?ref_=chttp_t_149","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"150","150"," Kill Bill: Vol","https://imdb.com/title/tt0266697/?ref_=chttp_t_150","https://imdb.com/title/tt0266697/?ref_=chttp_t_150","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"151","151"," The Thing","https://imdb.com/title/tt0084787/?ref_=chttp_t_151","https://imdb.com/title/tt0084787/?ref_=chttp_t_151","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"152","152"," Monty Python and the Holy Grail","https://imdb.com/title/tt0071853/?ref_=chttp_t_152","https://imdb.com/title/tt0071853/?ref_=chttp_t_152","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"153","153"," The Great Escape","https://imdb.com/title/tt0057115/?ref_=chttp_t_153","https://imdb.com/title/tt0057115/?ref_=chttp_t_153","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"154","154"," Finding Nemo","https://imdb.com/title/tt0266543/?ref_=chttp_t_154","https://imdb.com/title/tt0266543/?ref_=chttp_t_154","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"155","155"," Rashomon","https://imdb.com/title/tt0042876/?ref_=chttp_t_155","https://imdb.com/title/tt0042876/?ref_=chttp_t_155","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"156","156"," The Elephant Man","https://imdb.com/title/tt0080678/?ref_=chttp_t_156","https://imdb.com/title/tt0080678/?ref_=chttp_t_156","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"157","157"," Chinatown","https://imdb.com/title/tt0071315/?ref_=chttp_t_157","https://imdb.com/title/tt0071315/?ref_=chttp_t_157","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"158","158"," Howl's Moving Castle","https://imdb.com/title/tt0347149/?ref_=chttp_t_158","https://imdb.com/title/tt0347149/?ref_=chttp_t_158","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"159","159"," Dial M for Murder","https://imdb.com/title/tt0046912/?ref_=chttp_t_159","https://imdb.com/title/tt0046912/?ref_=chttp_t_159","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"160","160"," Gone with the Wind","https://imdb.com/title/tt0031381/?ref_=chttp_t_160","https://imdb.com/title/tt0031381/?ref_=chttp_t_160","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"161","161"," Prisoners","https://imdb.com/title/tt1392214/?ref_=chttp_t_161","https://imdb.com/title/tt1392214/?ref_=chttp_t_161","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"162","162"," V for Vendetta","https://imdb.com/title/tt0434409/?ref_=chttp_t_162","https://imdb.com/title/tt0434409/?ref_=chttp_t_162","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"163","163"," Raging Bull","https://imdb.com/title/tt0081398/?ref_=chttp_t_163","https://imdb.com/title/tt0081398/?ref_=chttp_t_163","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"164","164"," Lock, Stock and Two Smoking Barrels","https://imdb.com/title/tt0120735/?ref_=chttp_t_164","https://imdb.com/title/tt0120735/?ref_=chttp_t_164","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"165","165"," The Secret in Their Eyes","https://imdb.com/title/tt1305806/?ref_=chttp_t_165","https://imdb.com/title/tt1305806/?ref_=chttp_t_165","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"166","166"," Inside Out","https://imdb.com/title/tt2096673/?ref_=chttp_t_166","https://imdb.com/title/tt2096673/?ref_=chttp_t_166","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"167","167"," Spider-Man: No Way Home","https://imdb.com/title/tt10872600/?ref_=chttp_t_167","https://imdb.com/title/tt10872600/?ref_=chttp_t_167","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"168","168"," Three Billboards Outside Ebbing, Missouri","https://imdb.com/title/tt5027774/?ref_=chttp_t_168","https://imdb.com/title/tt5027774/?ref_=chttp_t_168","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"169","169"," Trainspotting","https://imdb.com/title/tt0117951/?ref_=chttp_t_169","https://imdb.com/title/tt0117951/?ref_=chttp_t_169","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"170","170"," The Bridge on the River Kwai","https://imdb.com/title/tt0050212/?ref_=chttp_t_170","https://imdb.com/title/tt0050212/?ref_=chttp_t_170","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"171","171"," Fargo","https://imdb.com/title/tt0116282/?ref_=chttp_t_171","https://imdb.com/title/tt0116282/?ref_=chttp_t_171","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"172","172"," Warrior","https://imdb.com/title/tt1291584/?ref_=chttp_t_172","https://imdb.com/title/tt1291584/?ref_=chttp_t_172","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"173","173"," Catch Me If You Can","https://imdb.com/title/tt0264464/?ref_=chttp_t_173","https://imdb.com/title/tt0264464/?ref_=chttp_t_173","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"174","174"," Gran Torino","https://imdb.com/title/tt1205489/?ref_=chttp_t_174","https://imdb.com/title/tt1205489/?ref_=chttp_t_174","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"175","175"," Klaus","https://imdb.com/title/tt4729430/?ref_=chttp_t_175","https://imdb.com/title/tt4729430/?ref_=chttp_t_175","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"176","176"," My Neighbor Totoro","https://imdb.com/title/tt0096283/?ref_=chttp_t_176","https://imdb.com/title/tt0096283/?ref_=chttp_t_176","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"177","177"," Million Dollar Baby","https://imdb.com/title/tt0405159/?ref_=chttp_t_177","https://imdb.com/title/tt0405159/?ref_=chttp_t_177","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"178","178"," Harry Potter and the Deathly Hallows: Part 2","https://imdb.com/title/tt1201607/?ref_=chttp_t_178","https://imdb.com/title/tt1201607/?ref_=chttp_t_178","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"179","179"," Children of Heaven","https://imdb.com/title/tt0118849/?ref_=chttp_t_179","https://imdb.com/title/tt0118849/?ref_=chttp_t_179","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"180","180"," Blade Runner","https://imdb.com/title/tt0083658/?ref_=chttp_t_180","https://imdb.com/title/tt0083658/?ref_=chttp_t_180","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"181","181"," 12 Years a Slave","https://imdb.com/title/tt2024544/?ref_=chttp_t_181","https://imdb.com/title/tt2024544/?ref_=chttp_t_181","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"182","182"," Before Sunrise","https://imdb.com/title/tt0112471/?ref_=chttp_t_182","https://imdb.com/title/tt0112471/?ref_=chttp_t_182","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"183","183"," The Grand Budapest Hotel","https://imdb.com/title/tt2278388/?ref_=chttp_t_183","https://imdb.com/title/tt2278388/?ref_=chttp_t_183","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"184","184"," Ben-Hur","https://imdb.com/title/tt0052618/?ref_=chttp_t_184","https://imdb.com/title/tt0052618/?ref_=chttp_t_184","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"185","185"," Barry Lyndon","https://imdb.com/title/tt0072684/?ref_=chttp_t_185","https://imdb.com/title/tt0072684/?ref_=chttp_t_185","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"186","186"," Gone Girl","https://imdb.com/title/tt2267998/?ref_=chttp_t_186","https://imdb.com/title/tt2267998/?ref_=chttp_t_186","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"187","187"," The Gold Rush","https://imdb.com/title/tt0015864/?ref_=chttp_t_187","https://imdb.com/title/tt0015864/?ref_=chttp_t_187","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"188","188"," Hacksaw Ridge","https://imdb.com/title/tt2119532/?ref_=chttp_t_188","https://imdb.com/title/tt2119532/?ref_=chttp_t_188","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"189","189"," In the Name of the Father","https://imdb.com/title/tt0107207/?ref_=chttp_t_189","https://imdb.com/title/tt0107207/?ref_=chttp_t_189","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"190","190"," Memories of Murder","https://imdb.com/title/tt0353969/?ref_=chttp_t_190","https://imdb.com/title/tt0353969/?ref_=chttp_t_190","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"191","191"," On the Waterfront","https://imdb.com/title/tt0047296/?ref_=chttp_t_191","https://imdb.com/title/tt0047296/?ref_=chttp_t_191","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"192","192"," The General","https://imdb.com/title/tt0017925/?ref_=chttp_t_192","https://imdb.com/title/tt0017925/?ref_=chttp_t_192","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"193","193"," The Deer Hunter","https://imdb.com/title/tt0077416/?ref_=chttp_t_193","https://imdb.com/title/tt0077416/?ref_=chttp_t_193","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"194","194"," Wild Tales","https://imdb.com/title/tt3011894/?ref_=chttp_t_194","https://imdb.com/title/tt3011894/?ref_=chttp_t_194","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"195","195"," Dead Poets Society","https://imdb.com/title/tt0097165/?ref_=chttp_t_195","https://imdb.com/title/tt0097165/?ref_=chttp_t_195","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"196","196"," Wild Strawberries","https://imdb.com/title/tt0050986/?ref_=chttp_t_196","https://imdb.com/title/tt0050986/?ref_=chttp_t_196","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"197","197"," The Third Man","https://imdb.com/title/tt0041959/?ref_=chttp_t_197","https://imdb.com/title/tt0041959/?ref_=chttp_t_197","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"198","198"," Mad Max: Fury Road","https://imdb.com/title/tt1392190/?ref_=chttp_t_198","https://imdb.com/title/tt1392190/?ref_=chttp_t_198","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"199","199"," The Wages of Fear","https://imdb.com/title/tt0046268/?ref_=chttp_t_199","https://imdb.com/title/tt0046268/?ref_=chttp_t_199","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"200","200"," Sherlock Jr","https://imdb.com/title/tt0015324/?ref_=chttp_t_200","https://imdb.com/title/tt0015324/?ref_=chttp_t_200","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"201","201"," Monsters, Inc","https://imdb.com/title/tt0198781/?ref_=chttp_t_201","https://imdb.com/title/tt0198781/?ref_=chttp_t_201","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"202","202"," Jaws","https://imdb.com/title/tt0073195/?ref_=chttp_t_202","https://imdb.com/title/tt0073195/?ref_=chttp_t_202","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"203","203"," Mr","https://imdb.com/title/tt0031679/?ref_=chttp_t_203","https://imdb.com/title/tt0031679/?ref_=chttp_t_203","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"204","204"," How to Train Your Dragon","https://imdb.com/title/tt0892769/?ref_=chttp_t_204","https://imdb.com/title/tt0892769/?ref_=chttp_t_204","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"205","205"," Mary and Max","https://imdb.com/title/tt0978762/?ref_=chttp_t_205","https://imdb.com/title/tt0978762/?ref_=chttp_t_205","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"206","206"," Ford v Ferrari","https://imdb.com/title/tt1950186/?ref_=chttp_t_206","https://imdb.com/title/tt1950186/?ref_=chttp_t_206","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"207","207"," The Seventh Seal","https://imdb.com/title/tt0050976/?ref_=chttp_t_207","https://imdb.com/title/tt0050976/?ref_=chttp_t_207","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"208","208"," Room","https://imdb.com/title/tt3170832/?ref_=chttp_t_208","https://imdb.com/title/tt3170832/?ref_=chttp_t_208","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"209","209"," Ratatouille","https://imdb.com/title/tt0382932/?ref_=chttp_t_209","https://imdb.com/title/tt0382932/?ref_=chttp_t_209","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"210","210"," The Big Lebowski","https://imdb.com/title/tt0118715/?ref_=chttp_t_210","https://imdb.com/title/tt0118715/?ref_=chttp_t_210","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"211","211"," Tokyo Story","https://imdb.com/title/tt0046438/?ref_=chttp_t_211","https://imdb.com/title/tt0046438/?ref_=chttp_t_211","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"212","212"," Rocky","https://imdb.com/title/tt0075148/?ref_=chttp_t_212","https://imdb.com/title/tt0075148/?ref_=chttp_t_212","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"213","213"," Hotel Rwanda","https://imdb.com/title/tt0395169/?ref_=chttp_t_213","https://imdb.com/title/tt0395169/?ref_=chttp_t_213","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"214","214"," Logan","https://imdb.com/title/tt3315342/?ref_=chttp_t_214","https://imdb.com/title/tt3315342/?ref_=chttp_t_214","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"215","215"," Spotlight","https://imdb.com/title/tt1895587/?ref_=chttp_t_215","https://imdb.com/title/tt1895587/?ref_=chttp_t_215","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"216","216"," Platoon","https://imdb.com/title/tt0091763/?ref_=chttp_t_216","https://imdb.com/title/tt0091763/?ref_=chttp_t_216","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"217","217"," The Passion of Joan of Arc","https://imdb.com/title/tt0019254/?ref_=chttp_t_217","https://imdb.com/title/tt0019254/?ref_=chttp_t_217","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"218","218"," The Terminator","https://imdb.com/title/tt0088247/?ref_=chttp_t_218","https://imdb.com/title/tt0088247/?ref_=chttp_t_218","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"219","219"," Before Sunset","https://imdb.com/title/tt0381681/?ref_=chttp_t_219","https://imdb.com/title/tt0381681/?ref_=chttp_t_219","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"220","220"," Jai Bhim","https://imdb.com/title/tt15097216/?ref_=chttp_t_220","https://imdb.com/title/tt15097216/?ref_=chttp_t_220","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"221","221"," Rush","https://imdb.com/title/tt1979320/?ref_=chttp_t_221","https://imdb.com/title/tt1979320/?ref_=chttp_t_221","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"222","222"," Network","https://imdb.com/title/tt0074958/?ref_=chttp_t_222","https://imdb.com/title/tt0074958/?ref_=chttp_t_222","9.2","2M","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","100"
"223","223"," The Best Years of Our Lives","https://imdb.com/title/tt0036868/?ref_=chttp_t_223","https://imdb.com/title/tt0036868/?ref_=chttp_t_223","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
